club_id,group_number,club_name,primary_language,city,zipcode,province,country
1,100,LA PILERIE,French,MOMIGNIES,6590.0,Hainaut,BELGIQUE
2,101,BAM,French,BASTOGNE,6600.0,Luxembourg,BELGIQUE
3,102,LES DAHUTS - ANDAGE,French,SAINT-HUBERT,6870.0,Luxembourg,BELGIQUE
4,103,LES TUNIQUES BLEUES,French,NIVELLES,1400.0,Brabant Wallon,BELGIQUE
5,104,EVASION,French,HOUDENG GOEGNIES,7110.0,Hainaut,BELGIQUE
6,105,LES AUBEPINES,French,CEREXHE-HEUSEUX,4632.0,Liège,BELGIQUE
7,107,S.J.N. CLUB,French,BRUXELLES,1030.0,Brussel/Bruxelles,BELGIQUE
8,109,LES CARACOLES,French,NAMUR,5000.0,Namur,BELGIQUE
9,110,LES QUILLES LIBRES,French,ARLON,6700.0,Luxembourg,BELGIQUE
10,111,LA CLAIRIÈRE,French,BRUXELLES,1170.0,Brussel/Bruxelles,BELGIQUE
11,112,RJCV SPORT,French,Malonne,5020.0,Namur,BELGIQUE
12,113,CLERLANDE SPORT,French,Ottignies,1340.0,Brabant Wallon,Belgique
13,115,LES OURSONS,French,BONNEVILLE,5300.0,Namur,BELGIQUE
14,116,LES COPAINS,French,BRUXELLES,1083.0,Brussel/Bruxelles,BELGIQUE
15,118,LES GRINGOS,French,SUGNY,5550.0,Namur,BELGIQUE
16,119,METHYS,French,LIEGE,4000.0,Liège,BELGIQUE
17,120,L'EFFORT,French,LIEGE,4000.0,Liège,BELGIQUE
18,121,L'ENVOL,French,MOUSCRON,7700.0,Hainaut,BELGIQUE
19,122,LA FORESTIERE,French,BRUXELLES,1050.0,Brussel/Bruxelles,BELGIQUE
20,123,LA CLARINE,French,FAYT-LEZ-MANAGE,7170.0,Hainaut,BELGIQUE
21,124,JENNEVAUX RENCONTRE,French,LESVE,5170.0,Namur,BELGIQUE
22,125,LES KOLOUTES,French,GREZ-DOICEAU,1390.0,Brabant Wallon,BELGIQUE
23,126,SPORT DE L'AMITIE,French,MONT-SAINT-GUIBERT,,Brabant Wallon,BELGIQUE
24,127,PÉRUWELZ RAINBOW SPORTS,French,TOURNAI,7520.0,Hainaut,BELGIQUE
25,128,LES HAUTES ARDENNES,French,VIELSALM,6690.0,Luxembourg,BELGIQUE
26,129,C.S. DE HEMPTINNE,French,JAUCHE,1350.0,Brabant Wallon,BELGIQUE
27,131,LES ACACIAS,French,Nivelles,1400.0,Brabant Wallon,BELGIQUE
28,132,LA CORDEE SPORTS,French,BOUGE,5004.0,Namur,BELGIQUE
29,133,LES 1001 NUITS,French,GREZ-DOICEAU,1390.0,Brabant Wallon,BELGIQUE
30,134,CENTRE CERFONTAINE,French,PERUWELZ,7600.0,Hainaut,BELGIQUE
31,135,LE CASTILLON,French,LA LOUVIÈRE,7100.0,Hainaut,BELGIQUE
32,137,MOSPO,French,HERSEAUX,7712.0,Hainaut,BELGIQUE
33,138,OKAPI SPORT,French,CASTEAU,7061.0,Hainaut,BELGIQUE
34,139,CLAIRVAL SPORT ACIS,French,BARVAUX,6940.0,Luxembourg,BELGIQUE
35,140,LE SESAME,French,BRUXELLES,1180.0,Brussel/Bruxelles,BELGIQUE
36,142,FARRA STRATEGIE,French,Auderghem,1160.0,Brussel/Bruxelles,BELGIQUE
37,143,LE CHAT BOTTÉ,French,LA LOUVIÈRE,7100.0,Hainaut,BELGIQUE
38,144,LES PLATANES,French,BRUXELLES,1170.0,Brussel/Bruxelles,BELGIQUE
39,145,LE PRETEXTE,French,BRUXELLES,1180.0,Brussel/Bruxelles,BELGIQUE
40,146,LE PETIT POUCET,French,SIVRY,6470.0,Hainaut,BELGIQUE
41,147,CENTRE REINE FABIOLA,French,NEUFVILLES,7063.0,Hainaut,BELGIQUE
42,148,LES RENARDS DE VOLAIVILLE,French,FAUVILLERS,6637.0,Luxembourg,BELGIQUE
43,152,S.R.A. L'ODYSSEE,French,MONTIGNIES / S / SAMBRE,6061.0,Hainaut,BELGIQUE
44,153,L'ESPACE LIOBA,French,NAMUR,5000.0,Namur,BELGIQUE
45,154,LES BLÉS D’OR,French,MOURCOURT,7543.0,Hainaut,BELGIQUE
46,155,DELTA,French,BRUXELLES,1000.0,Brussel/Bruxelles,BELGIQUE
47,157,DOMITILLE,French,WAIMES,4950.0,Liège,BELGIQUE
48,158,SPORT ESPOIR,French,DISON  ANDRIMONT,4821.0,Liège,BELGIQUE
49,159,LES BOLETS,French,BRUXELLES,1170.0,Brussel/Bruxelles,BELGIQUE
50,160,B.S.C. OSTBELGIEN,French,RECHT,4780.0,Liège,BELGIQUE
51,161,HOME VALERE DELCROIX,French,Tournai,7500.0,Hainaut,Belgique
52,162,A.T.L.A.S.H.,French,TIHANGE,4500.0,Liège,BELGIQUE
53,163,FOYER DU FORT,French,Flemalle,4400.0,Liège,BELGIQUE
54,164,ARBOTEAM,French,WASMES A-B,7604.0,Hainaut,BELGIQUE
55,165,LE COLOMBIER,French,NIVELLES,1400.0,Brabant Wallon,BELGIQUE
56,166,LES GOELANDS,French,AUBECHIES,7972.0,Hainaut,BELGIQUE
57,168,VRAIES RICHESSES,French,BRUXELLES,1070.0,Brussel/Bruxelles,BELGIQUE
58,169,CERISAIE SPORT,French,BASSENGE,4690.0,Liège,BELGIQUE
59,173,ALBATROS,French,PETITE-CHAPELLE,5660.0,Namur,BELGIQUE
60,174,ALTEO MOUSCRON,French,MOUSCRON,7700.0,Hainaut,BELGIQUE
61,176,OLDS BRACQS,French,STREPY-BRACQUEGNIES,7110.0,Hainaut,BELGIQUE
62,177,"CERCLE SPORTIF ""LA SEVE""",French,XHENDELESSE,4652.0,Liège,BELGIQUE
63,178,LE JARDIN DES FÉES,French,Mons,7000.0,Hainaut,BELGIQUE
64,179,EQUI - VALENCE,French,RANCE,6470.0,Hainaut,BELGIQUE
65,180,PONY-CLUB HOF TE BEVER ASBL,French,MIGNAULT,7070.0,,BELGIQUE
66,181,LA POMMERAIE,French,ELLIGNIES-STE-ANNE,7972.0,Hainaut,BELGIQUE
67,182,LES CANAILLES,French,MOMALLE,4350.0,Liège,BELGIQUE
68,183,LE BOIS ROUSSEL,French,MONTIGNY-LE-TILLEUL,6110.0,Hainaut,BELGIQUE
