event_id,event_name,sport_id
1,AT17 - Softbalwerpen/Lancement softball,1
2,AT16 - Verspringen zonder aanloop/Saut en longueur sans élan,1
3,AT14 - 50  M Course/Lopen,1
4,CY05 - 5km,2
5,Divisioning 500m-1Km,2
6,(copy of) Divisioning 500m-1Km,2
7,CY01 - 1km,2
8,CY-Divisioning3-15 km,2
9,(copy of) CY-Divisioning3-15 km,2
10,CY07 - 7km,2
11,FO FINALS 7 A Side,3
12,FO - Soccer 7 A Side Team,3
13,AT21 - 200  M Lopen/Course,1
14,AT20 - 100  M Course/Lopen,1
15,AT29 - Lancement poids 3 Kg/Kogelstoten 3 Kg,1
16,SG - Chinese Handball,4
17,SG - Hexagonal Floorball,4
18,SG - Small Balls,4
19,SG - Relay 2,4
20,SG - Basket Relay,4
21,SG - Runball,4
22,SG - Javelot,4
23,SG - Relay 1,4
24,AGPA - Level A,5
25,SW91 - 33 M Freestyle,6
26,SW92 - 66 M Freestyle,6
27,BDI - Badminton Singles,7
28,TTI - Table Tennis Singles,8
29,BOV Bocce Divisioning,9
30,BOD - Bocce Doubles,9
31,AT26 - Saut en longueur Int/Verspringen Int,1
32,AT24 - 800  M Lopen/Course,1
33,AT23 - 4X100 M Estafette/Aflossing,1
34,CY15 - 15km,2
35,SW68 - 66 M Assisted Swim Back,6
36,SW65 - 33 M Assisted Swim Front,6
37,SW66 - 33 M Assisted Swim Back,6
38,EQGY - Gymkhana,10
39,EQT1 - Trot 1,10
40,PA11 - Initiation Football,11
41,PA03 - Standing High Jump,11
42,PA00 - Adapted Physical Activities,11
43,PA13 - Initiation Basketball,11
44,PA01 - Unihocky Course,11
45,PA02 - Medicinball Toss,11
46,PA06 - Petanque,11
47,PA09 - Endurance Run 6 minutes,11
48,SW14 - 33 M Breaststroke,6
49,SW15 - 66 M Breaststroke,6
50,AT28 - Kogelstoten 4 Kg/Lancement poids 4 Kg,1
51,BOI - Bocce Singles,9
52,AT13 - 50  M Wandelen/Marche,1
53,NB - Netball Team,12
54,TEI - Tennis Singles,13
55,BWV - Bowling Singles,14
56,BWV - Bowling Singles Sheduling,14
57,AG1 - Floor Exercise Compulsory,5
58,AG6 - Balance Beam Compulsory,5
59,AG4 - Uneven Bars Compulsory,5
60,AG2 - Vault Compulsory,5
61,SW93 - 99 M Freestyle,6
62,MA - Motor Activities Relay,15
63,MA - Motor Activities Group,15
64,FL - Floorball Team,16
65,FLS1 - Dribble,16
66,FLS2 - Penalty,16
67,FLST - Floorball Skills Total,16
68,FLS3 - Shoot at Goal,16
69,FLS4 - Pass,16
70,BB - Basketball Team,17
71,RG2 - Hoop Compulsory,18
72,AT10 - 400  M Course-Marche/Lopen-Wandelen,1
73,SW24 - 33 M Backstroke,6
74,SW95 - 4X33 M Freestyle Relay,6
75,AT25 - Verspringen/Saut en longueur,1
76,AT22 - 400  M Lopen/Course,1
77,TR30 - Three Day Event,19
78,TR33 - 3km Run,19
79,TR32 - 10km Cycling,19
80,TR31 - 250m Swimming,19
81,CY00 - 500m,2
82,(copy of) Divisioning- 500m & 1Km Tricycle,2
83,Divisioning- 500m & 1Km Tricycle,2
84,CY30 - 500m Tricycle,2
85,AT52 - 100 M Rolstoel/Chaise roulant,1
86,SW77 - 66 M Flotation Race Front,6
87,SW75 - 33 M Flotation Race Front,6
88,JU - Judo,20
89,ATU2 - 1500 M Unified Lopen-Wandelen/Course-Marche,1
90,AT15 - 1500  M Course-Marche/Lopen-Wandelen,1
91,AT31 - 1500  M Lopen/Course,1
92,AT32 - 5000  M Lopen/Course,1
93,AT35 - Mini Javelin 400g Mini speerwerpen,1
94,AT18 - 100  M Marche/Wandelen,1
95,AG8 - Horizontal Bar Compulsory,5
96,AG3 - Parallel Bars Compulsory,5
97,CY31 - 1km Tricycle,2
