result_id,athlete_id,club_id,event_id,date_id,role,place,score
1,3008,249.0,1,1,Athlete,1st,"18m, 28.00cm"
2,3008,249.0,2,1,Athlete,2nd,"1m, 51.00cm"
3,3008,249.0,3,1,Athlete,2nd,"0 min, 8.89 sec"
4,3299,259.0,4,1,Athlete,4th,"13 min, 27.00 sec"
5,3299,259.0,5,1,Athlete,,"5 min, 30.00 sec"
6,3299,259.0,6,1,Athlete,,
7,3299,259.0,5,1,Athlete,,
8,3299,259.0,7,1,Athlete,DQ-HE,"3 min, 20.78 sec"
9,3299,259.0,8,1,Athlete,,"13 min, 45.77 sec"
10,3299,259.0,9,1,Athlete,,"2 hr, 3 min, 51.93 sec"
11,3299,259.0,10,1,Athlete,3rd,"20 min, 32.13 sec"
12,3299,259.0,7,1,Athlete,DQ-HE,"5 min, 30.00 sec"
13,4420,215.0,11,1,Athlete,3rd,
14,4420,215.0,12,1,Athlete,4th,1 points
15,4421,228.0,13,1,Athlete,5th,"0 min, 51.64 sec"
16,4421,228.0,14,1,Athlete,2nd,"0 min, 21.33 sec"
17,4421,228.0,15,1,Athlete,2nd,"3m, 94.00cm"
18,16319,106.0,16,1,Athlete,,
19,16319,106.0,17,1,Athlete,,
20,16319,106.0,18,1,Athlete,,
21,16319,106.0,19,1,Athlete,,
22,16319,106.0,20,1,Athlete,,
23,16319,106.0,21,1,Athlete,,
24,16319,106.0,22,1,Athlete,,
25,16319,106.0,23,1,Athlete,,
26,4423,32.0,24,1,Athlete,2nd,8.60 points
27,4423,32.0,24,1,Athlete,2nd,7.20 points
28,4423,32.0,24,1,Athlete,2nd,8.30 points
29,4423,32.0,24,1,Athlete,2nd,32.70 points
30,18996,353.0,25,1,Athlete,7th,"1 min, 8.34 sec"
31,18996,353.0,26,1,Athlete,7th,"2 min, 19.12 sec"
32,4428,,27,1,Athlete,2nd,8 points
33,2160,34.0,28,1,Athlete,3rd,6 points
34,17098,133.0,29,1,Athlete,,
35,17098,133.0,30,1,Athlete,4th,1.00 points
36,217,,31,1,Athlete,4th,"4m, 40.00cm"
